Cash and Equivalents,Current Assets,Fixed Assets,Long-Term Investments,Total Assets,Current Debt,Current Liabilities,Long-Term Debt,Total Liabilities,Equity,Total Equity,Outstanding Shares,Revenue,Operating Income,Income on Equity Investments,Net Income,Total Net Income,Depreciation and Amortization,Operating Cash Flow,Capital Expenditures,Investing Cash Flow,Total Debt Issued,Total Debt Repaid,Stock Buyback,Total Dividends Paid,Financing Cash Flow,ticker,period,year,quarter,reporting_period
"750,336,000","6,994,716,000","5,759,990,000","289,148,000","14,105,006,000","6,379,150,000","10,993,582,000","1,847,238,000","13,220,804,000","821,568,000","884,202,000",,"17,702,649,000","630,339,000","25,000,000","35,520,000","35,916,000","1,366,330,000","1,866,635,000","-466,414,000","-306,399,000",0,"-354,975,000",,,"-1,444,257,000",2GO,2022,2022,Q4,2022-12-31 00:00:00
"841,200,000","6,734,363,000","5,968,183,000","286,721,000","14,036,246,000","3,320,303,000","7,749,969,000","5,295,581,000","13,431,796,000","542,899,000","604,450,000",,"3,990,906,000","92,148,000","1,000,000","-34,900,000","-34,504,000","337,278,000","480,108,000",,"6,253,000",,"-98,346,000",,,"-316,900,000",2GO,quarter,2022,Q1,2022-03-31 00:00:00
"651,609,000","7,035,288,000","5,788,815,000","290,618,000","14,161,944,000","6,685,057,000","11,260,429,000","1,809,794,000","13,448,784,000","651,038,000","713,160,000",,"4,707,441,000","224,847,000","4,000,000","108,139,000","108,710,000","337,967,000","381,322,000","-236,900,000","-241,476,000",,"-64,690,000",,,"-329,436,000",2GO,quarter,2022,Q2,2022-06-30 00:00:00
"750,336,000","6,994,716,000","5,759,990,000","289,148,000","14,105,006,000","6,379,150,000","10,993,582,000","1,847,238,000","13,220,804,000","821,568,000","884,202,000",,"5,097,343,000","246,729,000","8,000,000","165,335,000","165,847,000","350,657,000","708,385,000","-78,399,000","-54,199,000",,"-91,885,000",,,"-554,306,000",2GO,quarter,2022,Q3,2022-09-30 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,quarter,2022,Q4,2022-12-31 00:00:00
"670,015,000","6,598,155,000","4,976,422,000","285,518,000","12,918,721,000","3,247,557,000","7,421,048,000","4,485,852,000","12,279,767,000","577,799,000","638,954,000",,"15,408,096,000","-700,504,000","55,000,000","-1,144,160,000","-1,142,946,000","1,459,667,000","622,642,000","-1,918,694,000","-1,489,798,000","500,000,000","-395,527,000",,,"645,320,000",2GO,2021,2021,Q4,2021-12-31 00:00:00
"1,242,719,000","8,794,538,000","5,195,165,000","245,798,000","15,464,836,000","3,161,689,000","9,547,693,000","4,056,172,000","14,105,709,000","1,299,864,000","1,359,127,000",,"3,986,832,000","-230,667,000","14,000,000","-291,120,000","-291,798,000","391,590,000","551,596,000","-709,664,000","-703,399,000",,"-95,490,000",,,"504,395,000",2GO,quarter,2021,Q1,2021-03-31 00:00:00
"896,017,000","7,831,048,000","5,672,538,000","265,837,000","14,984,976,000","3,313,099,000","8,885,972,000","4,538,835,000","13,934,787,000","991,136,000","1,050,189,000",,"3,804,216,000","-274,883,000","20,000,000","-308,684,000","-308,894,000","372,338,000","-296,901,000","-804,882,000","-539,241,000","496,250,000","-104,437,000",,,"490,113,000",2GO,quarter,2021,Q2,2021-06-30 00:00:00
"633,787,000","7,174,644,000","5,581,249,000","273,573,000","14,239,776,000","3,353,924,000","8,505,010,000","4,507,975,000","13,529,017,000","648,521,000","710,759,000",,"3,710,089,000","-261,569,000","9,000,000","-341,302,000","-338,117,000","355,311,000","71,127,000","-253,033,000","-230,181,000",0,"-95,546,000",,,"-105,573,000",2GO,quarter,2021,Q3,2021-09-30 00:00:00
"670,015,000","6,598,155,000","4,976,422,000","285,518,000","12,918,721,000","3,247,557,000","7,421,048,000","4,485,852,000","12,279,767,000","577,799,000","638,954,000",,"3,906,959,000","66,615,000","12,000,000","-203,054,000","-204,137,000","340,428,000","296,820,000","-151,115,000","-16,977,000",0,"-100,054,000",,,"-243,615,000",2GO,quarter,2021,Q4,2021-12-31 00:00:00
"890,127,000","8,078,438,000","4,806,893,000","231,424,000","14,759,456,000","2,536,169,000","8,507,831,000","4,097,474,000","13,092,452,000","1,607,063,000","1,667,004,000",,"17,408,695,000","-930,830,000","-44,000,000","-1,842,670,000","-1,842,739,000","1,861,876,000","677,363,000","-456,890,000","-351,652,000","1,000,000,000","-414,977,000",,,"-328,096,000",2GO,2020,2020,Q4,2020-12-31 00:00:00
"1,621,004,000","8,939,183,000","6,162,061,000","269,110,000","17,195,651,000","3,865,129,000","9,917,038,000","3,533,006,000","13,800,772,000","3,336,540,000","3,394,879,000",,"5,161,203,000","-41,898,000","-8,000,000","-108,924,000","-110,595,000","489,366,000","236,834,000","-83,537,000","-89,228,000",,"-107,115,000",,,"580,532,000",2GO,quarter,2020,Q1,2020-03-31 00:00:00
"774,748,000","8,166,974,000","5,663,446,000","267,040,000","15,902,803,000","2,829,198,000","8,312,316,000","4,421,823,000","13,099,413,000","2,746,148,000","2,803,390,000",,"3,928,086,000","-463,769,000","-2,000,000","-621,603,000","-622,700,000","465,615,000","-573,550,000","-142,510,000","-73,149,000","1,000,000,000","-141,100,000",,,"-198,765,000",2GO,quarter,2020,Q2,2020-06-30 00:00:00
"1,082,709,000","8,096,599,000","5,280,846,000","255,652,000","15,422,917,000","2,837,613,000","8,249,557,000","4,313,642,000","12,923,190,000","2,440,753,000","2,499,727,000",,"4,600,925,000","-197,617,000","-11,000,000","-311,664,000","-309,932,000","455,703,000","469,401,000","-64,731,000","46,773,000",0,"-124,318,000",,,"-207,407,000",2GO,quarter,2020,Q3,2020-09-30 00:00:00
"890,127,000","8,078,438,000","4,806,893,000","231,424,000","14,759,456,000","2,536,169,000","8,507,831,000","4,097,474,000","13,092,452,000","1,607,063,000","1,667,004,000",,"3,718,481,000","-227,546,000","-22,000,000","-800,479,000","-799,512,000","451,192,000","544,678,000","-166,112,000","-236,048,000",0,"-42,444,000",,,"-502,456,000",2GO,quarter,2020,Q4,2020-12-31 00:00:00
"892,540,000","7,864,109,000","6,442,797,000","277,039,000","16,400,227,000","3,129,427,000","8,883,408,000","3,623,484,000","12,845,698,000","3,494,519,000","3,554,529,000",,"21,409,914,000","245,764,000","-50,000,000","-890,352,000","-892,214,000","1,903,188,000","1,422,391,000","-766,054,000","-645,975,000","2,060,000,000","-890,456,000",,,"-1,299,299,000",2GO,2019,2019,Q4,2019-12-31 00:00:00
"1,403,625,000","8,155,040,000","7,019,581,000","310,918,000","16,677,169,000","3,115,369,000","9,048,609,000","3,152,676,000","12,430,764,000","4,183,598,000","4,246,405,000",,"5,486,152,000","-44,436,000","-15,000,000","-369,034,000","-368,099,000","519,689,000","131,001,000","-166,591,000","-156,663,000","2,060,000,000","-136,992,000",,,"13,858,000",2GO,quarter,2019,Q1,2019-03-31 00:00:00
"1,202,253,000","8,165,782,000","6,707,058,000","292,553,000","16,459,864,000","2,534,799,000","8,758,961,000","3,122,079,000","12,111,184,000","4,284,969,000","4,348,680,000",,"5,640,521,000","326,879,000","-19,000,000","23,731,000","24,635,000","536,783,000","871,769,000","-285,955,000","-239,652,000",,"-192,430,000",,,"-832,915,000",2GO,quarter,2019,Q2,2019-06-30 00:00:00
"1,020,208,000","7,865,795,000","6,294,860,000","280,061,000","15,757,825,000","2,702,214,000","8,918,092,000","2,835,130,000","11,979,756,000","3,714,772,000","3,778,069,000",,"5,093,777,000","-417,047,000","-12,000,000","-627,671,000","-628,085,000","529,941,000","-177,402,000","-70,906,000","7,584,000",,"-132,890,000",,,"-12,330,000",2GO,quarter,2019,Q3,2019-09-30 00:00:00
"892,540,000","7,864,109,000","6,442,797,000","277,039,000","16,400,227,000","3,129,427,000","8,883,408,000","3,623,484,000","12,845,698,000","3,494,519,000","3,554,529,000",,"5,189,464,000","182,106,000","-3,000,000","82,622,000","79,335,000","316,775,000","561,025,000","-242,602,000","-221,246,000",,"-428,144,000",,,"-467,912,000",2GO,quarter,2019,Q4,2019-12-31 00:00:00
"1,415,411,000","8,006,267,000","7,211,433,000","325,642,000","16,834,689,000","2,874,851,000","8,870,777,000","3,208,494,000","12,297,975,000","4,474,842,000","4,536,714,000",,"19,665,637,000","-692,556,000",0,"-1,467,495,000","-1,469,903,000","1,962,998,000","1,182,388,000","-1,524,526,000","-1,657,390,000","2,500,000,000","-2,545,630,000",,,"-299,805,000",2GO,2018,2018,Q4,2018-12-31 00:00:00
"2,063,957,000","7,841,839,000","6,695,015,000","280,826,000","15,338,381,000","5,187,614,000","11,194,522,000","198,910,000","11,671,632,000","3,603,764,000","3,666,749,000",,"5,723,625,000","127,340,000","2,500,000","39,731,000","38,437,000","502,171,000","1,048,173,000","-256,831,000","-255,274,000","1,422,700,000","-1,057,927,000",,,"-776,323,000",2GO,quarter,2018,Q1,2018-03-31 00:00:00
"2,179,685,000","8,014,610,000","6,514,732,000","280,552,000","15,327,770,000","1,829,183,000","8,255,962,000","2,977,056,000","11,500,805,000","3,765,152,000","3,826,965,000",,"5,699,722,000","241,930,000","2,000,000","159,659,000","158,487,000","545,258,000","661,050,000","-59,221,000","-61,727,000","2,500,000,000","-1,309,629,000",,,"-572,886,000",2GO,quarter,2018,Q2,2018-06-30 00:00:00
"1,482,915,000","8,050,295,000","6,366,772,000","287,675,000","15,264,411,000","2,531,519,000","9,155,767,000","2,938,114,000","12,352,409,000","2,851,450,000","2,912,002,000",,"5,115,847,000","-838,580,000","7,000,000","-902,756,000","-904,017,000","556,378,000","-671,120,000","-374,081,000","-587,294,000",0,"-114,338,000",,,"528,468,000",2GO,quarter,2018,Q3,2018-09-30 00:00:00
"1,415,411,000","8,006,267,000","7,211,433,000","325,642,000","16,834,689,000","2,874,851,000","8,870,777,000","3,208,494,000","12,297,975,000","4,474,842,000","4,536,714,000",,"3,126,443,000","-223,246,000","-12,000,000","-764,129,000","-762,810,000","359,191,000","144,285,000","-834,393,000","-753,095,000",0,"-63,736,000",,,"520,936,000",2GO,quarter,2018,Q4,2018-12-31 00:00:00
"2,181,243,000","8,797,750,000","7,898,962,000","292,072,000","18,316,663,000","5,872,273,000","11,659,663,000","219,911,000","12,273,233,000","5,971,603,000","6,043,430,000",,"19,286,686,000","43,322,000","-7,000,000","-313,159,000","-306,959,000","1,789,733,000","2,874,030,000","-1,624,021,000","-1,553,323,000","756,911,000","-1,225,969,000",,,"-595,131,000",2GO,2017,2017,Q4,2017-12-31 00:00:00
"1,713,268,000","7,846,591,000","7,513,617,000","291,801,000","16,302,319,000","6,592,786,000","12,118,584,000","262,170,000","12,637,670,000","3,598,040,000","3,664,649,000",,"4,847,506,000","-59,618,000","5,700,000","-265,846,000","-264,863,000","443,631,000","255,514,000","-540,774,000","-623,974,000","715,661,000","-189,869,000",,,"668,940,000",2GO,quarter,2017,Q1,2017-03-31 00:00:00
"2,005,323,000","8,044,241,000","7,379,151,000","291,755,000","16,410,043,000","6,106,004,000","11,869,401,000","250,589,000","12,360,456,000","3,981,502,000","4,049,587,000",,"6,203,458,000","672,115,000",0,"383,461,000","384,937,000","443,824,000","1,350,957,000","-406,693,000","-452,758,000","31,999,000","-219,864,000",,,"-605,758,000",2GO,quarter,2017,Q2,2017-06-30 00:00:00
"2,065,201,000","8,294,758,000","7,250,416,000","282,317,000","16,555,218,000","6,501,813,000","12,052,224,000","253,380,000","12,549,932,000","3,935,171,000","4,005,286,000",,"5,606,329,000","99,020,000","-9,400,000","-46,330,000","-44,300,000","478,032,000","165,639,000","-349,814,000","-388,219,000","9,251,000","-210,960,000",,,"282,461,000",2GO,quarter,2017,Q3,2017-09-30 00:00:00
"2,095,850,000","8,610,285,000","7,096,852,000","275,676,000","16,507,109,000","5,863,576,000","12,387,615,000","219,911,000","12,873,723,000","3,561,560,000","3,633,386,000",,"4,894,206,000","-350,080,000","-3,200,000","-387,059,000","-385,348,000","521,358,000","910,346,000","-326,224,000","-115,149,000",0,"-605,276,000",,,"-766,440,000",2GO,quarter,2017,Q4,2017-12-31 00:00:00
